,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,2.0122481546,0.4,0.0,0.0,0.0,0.0,0.0,0.28571428571,0.0,0.0,0.0,0.0,0.0,0.0
1,1.8994285714,0.4,0.0,0.0,0.0,0.39610893907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.8994285714,0.4,0.0,0.0,0.0,0.10449832511,0.0,0.28571428571,0.0,0.0,0.0,0.0,0.0,0.0
3,1.8994285714,0.4,0.38204540568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.8994285714,0.4,0.38203964968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.8994285714,0.4,0.10047186993,0.0,0.0,0.0,0.0,0.28571428571,0.0,0.0,0.0,0.0,0.0,0.0
6,1.8994285714,0.4,0.0,0.0,0.0,0.39610894042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.8994285714,0.4,0.38203965002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.8994285714,0.4,0.38204540566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.8994285714,0.4,0.38204540568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.8994285714,0.4,0.28571428571,0.0,0.0,0.0,0.0,0.096981003485,0.0,0.0,0.0,0.0,0.0,0.0
11,1.8994285714,0.4,0.28571428571,0.0,0.0,0.09829523311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.9118270171,0.2,0.0,0.0,0.0,0.0,0.0,0.57142857143,0.0,0.0,0.0,0.0,0.0,0.0
13,1.8994285714,0.4,0.10047186993,0.0,0.0,0.0,0.0,0.28571428571,0.0,0.0,0.0,0.0,0.0,0.0
14,1.8994285714,0.4,0.38204540566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.8994285714,0.4,0.0,0.0,0.0,0.0,0.0,0.38930348427,0.0,0.0,0.0,0.0,0.0,0.0
16,2.3276662897,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.8994285714,0.4,0.38204540568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.9074565227,0.2,0.28571428571,0.0,0.0,0.28571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.8994285714,0.4,0.38203119582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
