,0,1,2,3,4,5,6
0,0.00028,8.1,550.0,300.0,0.035,0.0,680.0
1,0.00056,8.1,309.0,200.0,0.042,0.0,360.0
2,0.00056,8.1,307.0,200.0,0.042,0.0,360.0
3,0.00324,7.74,240.0,150.0,0.063,60.0,180.0
4,0.00324,7.74,240.0,150.0,0.063,60.0,180.0
5,0.00324,7.74,240.0,150.0,0.063,60.0,180.0
6,0.00324,7.74,240.0,150.0,0.063,60.0,180.0
7,0.00324,7.74,240.0,150.0,0.063,60.0,180.0
8,0.00324,7.74,240.0,150.0,0.063,60.0,180.0
9,0.00284,8.6,126.0,100.0,0.084,40.0,120.0
10,0.00284,8.6,126.0,100.0,0.084,40.0,120.0
11,0.00284,8.6,126.0,100.0,0.084,55.0,120.0
12,0.00284,8.6,126.0,100.0,0.084,55.0,120.0
