,0,1,2,3,4,5,6
0,0.0097,6.8,119.0,90.0,0.72,100.0,300.0
1,0.0055,4.0,90.0,79.0,0.05,120.0,438.0
2,0.0055,4.0,45.0,0.0,0.0,100.0,250.0
3,0.0025,0.85,0.0,0.0,0.0,8.0,25.0
4,0.0,5.28,0.891,0.0,0.0,50.0,63.75
5,0.008,3.5,110.0,0.0,0.0,150.0,300.0
6,0.0,5.439,21.0,0.0,0.0,50.0,63.75
7,0.0075,6.0,88.0,50.0,0.52,100.0,500.0
8,0.0085,6.0,55.0,0.0,0.0,200.0,600.0
9,0.009,5.2,90.0,0.0,0.0,15.0,40.0
10,0.0045,1.6,65.0,0.0,0.0,50.0,150.0
11,0.0025,0.85,78.0,58.0,0.02,25.0,75.0
12,0.0,2.55,49.0,0.0,0.0,50.0,63.75
13,0.0045,1.6,85.0,0.0,0.0,0.0,95.0
14,0.0065,4.7,80.0,92.0,0.75,20.0,220.0
15,0.0045,1.4,90.0,0.0,0.0,15.0,80.0
16,0.0025,0.85,10.0,0.0,0.0,15.0,80.0
17,0.0045,1.6,25.0,0.0,0.0,50.0,230.0
18,0.008,5.5,90.0,0.0,0.0,400.0,500.0
