,0
0,157.95025086402893
1,106.0634753704071
2,49.56545352935791
3,165.62666368484497
4,111.5612964630127
5,114.24097156524658
6,120.61893343925476
7,152.8951485157013
8,112.8420181274414
9,123.74573016166687
10,147.83735847473145
11,86.62218141555786
12,122.12408494949341
13,112.5584967136383
14,119.38918805122375
15,138.53929495811462
16,95.53193020820618
17,254.30152010917664
18,113.5400640964508
19,100.79748916625977
20,57.22972083091736
21,46.559345722198486
22,107.46705150604248
23,105.15970468521118
24,103.55291414260864
