,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,-0.064092446659,-0.093968844481,-0.11525711695,-0.17768019737,-0.13338603325,-0.16088241814,-0.13785985485,-0.15990778268,-0.20016472616,-0.11104923054,-0.20417044017,-0.20417044017,-0.21875628593,-0.2188299952,-0.20759055986,-0.20639097546,-0.22520841315,-0.22540168112,-0.22014355529,-0.20956347381,-0.20969553829,-0.22305026566,-0.22217249784,-0.21868887147,-0.22623389838,-0.21167648418,-0.1421176274,-0.23345727312,-0.24909842154
1,0.0,-0.064008944131,-0.094244633263,-0.11560455186,-0.17721368698,-0.13236937938,-0.16009186507,-0.12813313202,-0.19074868224,-0.22056607961,-0.19074868224,-0.21411800472,-0.21411800472,-0.22968696674,-0.2307172557,-0.22195803513,-0.22494723332,-0.24012244182,-0.24212105081,-0.23779638086,-0.228910153,-0.22869269545,-0.23601903532,-0.23658869873,-0.22660947609,-0.23414333993,-0.21563939842,-0.13988965255,-0.23735530053,-0.25294833295
2,0.0,-0.06192923132,-0.096136041283,-0.11796100958,-0.15412215628,-0.13788394727,-0.15384365594,-0.1512701289,-0.16051231857,-0.20204531378,-0.10572579095,-0.2068075451,-0.2068075451,-0.22139904229,-0.22142419264,-0.20989903995,-0.20841801288,-0.22757649047,-0.22762778079,-0.22228390576,-0.2116312273,-0.21181684232,-0.22575754613,-0.2250196636,-0.22296329828,-0.23054158509,-0.21681136545,-0.1485137758,-0.23870516412,-0.25443013656
3,0.0,-0.065876558153,-0.090260610026,-0.11063741346,-0.20212732207,-0.12795352132,-0.16761998167,-0.13228852644,-0.12287202352,-0.17362923162,-0.02506055845,-0.18900111093,-0.18900111093,-0.20246685914,-0.20143595835,-0.18758741194,-0.18185937117,-0.20456252642,-0.20281912529,-0.19655791411,-0.18404712098,-0.18451669891,-0.20423543026,-0.20145707203,-0.20369557148,-0.21123606975,-0.20017740145,-0.13593680798,-0.22195578697,-0.23759515298
4,0.0,-0.066607150389,-0.090067270586,-0.11039263938,-0.20420923785,-0.13127285606,-0.17045120516,-0.13559060168,-0.14752736342,-0.1825859064,-0.098668252098,-0.1637477626,-0.13244154123,-0.18121869016,-0.18420215552,-0.17679641343,-0.18473589474,-0.19656252088,-0.20034624338,-0.19697730276,-0.19152996755,-0.19151162374,-0.19459461503,-0.20204382287,-0.20535235305,-0.21290887612,-0.20248003004,-0.13913112065,-0.22430841184,-0.23998485828
5,0.0,-0.066607150389,-0.090067270586,-0.11039263938,-0.20420923785,-0.13127285606,-0.17045120516,-0.13559060168,-0.14752736342,-0.1825859064,-0.098668252098,-0.1637477626,-0.13244154123,-0.18121869016,-0.18420215552,-0.17679641343,-0.18473589474,-0.19656252088,-0.20034624338,-0.19697730276,-0.19152996755,-0.19151162374,-0.19459461503,-0.20204382287,-0.20535235305,-0.21290887612,-0.20248003004,-0.13913112065,-0.22430841184,-0.23998485828
6,0.0,-0.063342813559,-0.091862140279,-0.11262457577,-0.17712694498,-0.13310813898,-0.16049381676,-0.13579071427,-0.18226875564,-0.20746847614,-0.18226875564,-0.178652101,-0.14893794605,-0.19713163785,-0.20100665756,-0.19597562762,-0.20787505339,-0.2163085262,-0.22182724997,-0.21932766782,-0.2154402143,-0.21508341445,-0.21237107854,-0.22108743007,-0.21775707926,-0.22541001821,-0.21081029794,-0.14133414173,-0.23296065264,-0.24887603257
7,0.0,-0.065464452217,-0.088256066864,-0.10813910776,-0.20216703179,-0.1285213392,-0.16797648833,-0.13281998949,-0.14103589315,-0.17736588226,-0.086327503206,-0.16001363225,-0.12871314815,-0.17732539459,-0.18016627884,-0.17243715997,-0.17977666306,-0.19209994727,-0.19563032862,-0.19213323203,-0.1864289158,-0.18645205504,-0.19035117225,-0.1975239468,-0.20147990212,-0.20902957895,-0.19900618905,-0.13628956117,-0.22081491821,-0.23647678832
8,0.0,-0.062872588492,-0.09331987681,-0.11444826614,-0.16718886987,-0.13618677712,-0.15823640318,-0.14946707799,-0.15553328349,-0.19220954844,-0.10662341759,-0.17990594929,-0.15833236217,-0.19660989887,-0.19876733821,-0.19019323016,-0.19553910475,-0.20941953733,-0.21217101267,-0.20824766833,-0.20135797818,-0.2013996873,-0.20751282733,-0.21272906411,-0.21465837652,-0.22224217766,-0.21093864685,-0.14629895981,-0.23285681038,-0.24859985911
9,0.0,-0.073977518057,-0.10882931399,-0.13378284076,-0.195527454,-0.15751965005,-0.18252259207,-0.171043106,-0.18334047773,-0.2233964545,-0.13431383694,-0.22554548192,-0.22554548192,-0.24049291639,-0.24085121234,-0.22977580906,-0.22933311466,-0.24774739869,-0.2482255687,-0.24307751122,-0.2328778981,-0.23301657243,-0.24575347267,-0.24574883187,-0.2436590832,-0.25121448155,-0.23745149875,-0.16832820359,-0.25920543278,-0.2748266661
