,0
0,8991.9088886
1,9004.3038022
2,9024.1609676
3,9047.6654779
4,9063.2772936
5,9063.2772936
6,9072.9334158
7,9077.4508932
8,9167.7904315
9,9187.2336965
10,9318.4961975
11,9322.1364592
12,9323.5776525
13,9328.6059213
14,9336.4553256
15,9364.0242439
16,9385.1160438
17,9385.1160438
18,9389.1708079
19,9394.4811483
20,9395.9295002
21,9419.1156333
22,9421.3495062
23,9421.3495062
24,9447.0201173
25,9458.5890839
26,9487.2150075
27,9511.601412
28,9516.9955398
29,9519.230948
30,9545.5430609
31,9595.2640101
32,9618.0388194
33,9631.2114421
34,9650.3702185
35,9720.4458258
36,9745.6755224
37,9913.5544051
38,9980.159503
39,10007.838842
40,10008.077023
41,10287.300888
42,10328.674674
43,10346.953811
44,10364.309129
