,0
0,0.0
1,0.011871728149
2,0.016084562494
3,0.076480416829
4,0.08388634639
5,0.041049669942
6,0.034394845443
7,0.16426072769
8,0.28633889135
9,0.41673221551
10,0.036889069274
11,0.029268618756
12,0.014300247344
13,0.016525912986
14,0.0077145384935
15,0.023404680107
16,0.048942503738
17,0.012472771018
18,0.0032999135844
19,0.016342708029
20,0.040250517307
21,0.079242072829
22,0.15610785617
23,0.15144805902
24,0.27512122867
25,0.30664742804
26,0.06543933354
27,0.040557290755
28,0.026838607477
29,0.12919913672
30,0.029083633026
31,0.05694240105
32,-0.0015474876954
33,0.0077194948199
34,0.0006115942284
35,0.00039466147912
36,0.015539349959
37,0.097461724021
38,-0.03752946675
39,-0.054803969257
40,-0.06179943165
41,-0.037232816838
42,0.0053914306724
43,0.042001118894
44,0.070535927062
45,0.11517258391
46,0.1514358081
47,0.14051972482
48,0.15644136522
49,0.12178292783
50,0.078560494026
51,0.063224550585
52,0.04748195898
53,0.060535539381
54,0.056094848725
55,0.059019751583
56,0.079231547566
57,0.065658013035
58,0.1279693843
59,0.18796486372
60,0.20178112037
61,0.19281396847
62,0.18192428154
63,0.21013301668
64,0.26275673427
65,0.2650985167
66,0.21832017693
67,0.26055735816
68,0.29760643066
69,0.17358008416
70,0.16784022921
71,0.14965904764
72,0.16543293473
73,0.15459847538
74,0.17614240628
75,0.15404297502
76,0.24202069594
77,0.23786530989
78,0.24386610075
79,0.28447454757
80,0.26893498294
81,0.25006315697
82,0.26750480173
83,0.30431556651
84,0.32691718261
85,0.30892647128
86,0.31546810699
87,0.37735924528
88,0.44233111712
89,0.34234335063
90,0.34043586328
91,0.34905481182
92,0.30498651292
93,0.27335974844
94,0.25854132326
95,0.25661926757
96,0.26460839669
97,0.25732376162
98,0.24888432665
99,0.26553615536
100,0.28767240199
101,0.32714996564
102,0.20718100854
103,0.15960030741
104,0.14219143073
105,0.13945686195
106,0.096439539321
107,0.12536277643
108,0.11902514937
109,0.10754147153
110,0.13249386022
111,0.06567689146
112,0.048945884322
113,0.052094529357
114,0.051995955276
115,0.25367236954
116,0.0052747627569
117,0.15875591474
