,0
0,123138.35418852535
1,125523.72799271673
2,123721.41377968767
3,124921.89413020422
4,126557.05138552675
5,124778.55474531854
6,125493.51284577258
7,125445.48125637189
8,126514.36964706855
9,124532.16743258142
10,123780.66914456345
11,123694.42596152757
12,125866.00086262832
13,125950.59000390774
14,125000.93212151353
15,125626.37919726687
16,126985.47586161882
17,125296.22443731605
18,127312.58124569488
19,126748.3521671497
20,126576.06179604487
21,124279.01950946168
22,126118.08946050318
23,124870.43709020801
24,124654.14564286644
25,123364.96586849933
26,124851.72396660125
27,125260.26217061857
28,124287.21587156571
29,124776.67391184156
30,124652.0807278896
31,125368.42627991557
32,126848.14492627133
33,127602.08691405185
34,126669.00744947197
35,124048.69455784866
36,125477.97098782804
37,126551.07980699508
38,127297.85874304714
39,124873.1249286355
40,125320.13106395231
41,125607.35092654373
42,125522.60680714936
43,124717.59883223045
44,125684.36909743075
45,125282.29278301669
46,125358.09215044307
47,125414.90365646085
48,126150.4916252893
49,125138.19762141489
