,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,110.79982504,110.79982504,97.399912356,179.73309995,87.799904581,105.39991238,259.59965006,284.59965008,284.59965007,203.33693314,94.0,94.0,394.27936957,394.27936989,394.27936993,394.27936996,489.2793702,489.27937022,511.27937022,511.27937022,523.27937025,523.27937025,523.27937025,523.27937026,523.27937025,523.27937025,10.0,10.0,10.0,87.799904579,159.73310011,159.73310011,159.73310011,164.79982502,164.79982503,164.79982503,89.114135712,89.114135703,89.114135704,511.27937021
1,110.79982355,110.79982356,97.399906595,179.73309479,87.799904228,105.39990778,259.59964643,284.59964653,284.59964644,203.33705313,94.000001338,94.000000383,394.27934947,394.2793583,394.27935853,394.27935841,489.27936685,489.27936684,511.27936667,511.27936674,523.27936815,523.27936811,523.27936819,523.27936825,523.27936791,523.27936791,10.000001915,10.000001924,10.000001121,87.799904228,159.73310015,159.73310015,159.73310015,164.79982262,164.79982306,164.79982307,89.114133289,89.1141333,89.114133297,511.27936666
2,110.79982355,110.79982356,97.399906595,179.73309479,87.799904228,105.39990778,259.59964643,284.59964653,284.59964644,203.33705313,94.000001338,94.000000383,394.27934947,394.2793583,394.27935853,394.27935841,489.27936685,489.27936684,511.27936667,511.27936674,523.27936815,523.27936811,523.27936819,523.27936825,523.27936791,523.27936791,10.000001915,10.000001924,10.000001121,87.799904228,159.73310015,159.73310015,159.73310015,164.79982262,164.79982306,164.79982307,89.114133289,89.1141333,89.114133297,511.27936666
3,110.7998288,110.79982878,97.399913603,179.73310072,87.799908999,140.0,259.59965197,284.59965203,284.59965197,130.0000009,168.79982425,168.79982419,304.51957955,304.51958009,304.51958007,304.51958008,489.27937095,489.27937097,511.27937092,511.2793709,523.27937142,523.27937143,523.27937152,523.27937149,523.27937132,523.27937134,10.000001072,10.00000151,10.000001168,87.799909002,190.0,190.0,190.0,199.99999949,199.99999972,189.11749535,109.99999997,109.99999997,109.99999997,511.27937091
4,110.79982635,110.79982635,97.399912782,179.73310018,87.799905849,105.39991296,259.59965076,284.59965079,284.59965076,130.0,94.0,168.79982418,304.51957962,394.27936976,394.27936979,394.27936979,489.27937045,489.27937046,511.27937043,511.27937043,523.27937068,523.2793707,523.27937074,523.27937074,523.27937063,523.27937064,10.0,10.000000647,10.000000618,87.799905877,190.0,175.99134918,159.73310157,164.79982602,164.79982616,164.79982615,89.114136902,110.0,110.0,511.27937043
5,110.79982635,110.79982635,97.399912782,179.73310018,87.799905849,105.39991296,259.59965076,284.59965079,284.59965076,130.0,94.0,168.79982418,304.51957962,394.27936976,394.27936979,394.27936979,489.27937045,489.27937046,511.27937043,511.27937043,523.27937068,523.2793707,523.27937074,523.27937074,523.27937063,523.27937064,10.0,10.000000647,10.000000618,87.799905877,190.0,175.99134918,159.73310157,164.79982602,164.79982616,164.79982615,89.114136902,110.0,110.0,511.27937043
6,110.79982488,110.79982487,97.39991172,129.8665495,87.799904543,105.39991189,259.59964969,284.59964969,284.59964968,204.46496603,94.0,168.79981733,394.27936744,394.27936863,394.27936861,394.27936872,399.51957985,399.51957984,511.27936984,511.27936985,523.27937002,523.27937005,523.27937002,523.27937002,523.27936999,523.27937002,10.000000061,10.0,10.000000125,87.799904543,190.0,190.0,190.0,164.79982476,164.79982483,164.79982481,109.99999878,109.99999878,109.99999878,511.27936985
7,110.79982488,110.79982487,97.39991172,129.8665495,87.799904543,105.39991189,259.59964969,284.59964969,284.59964968,204.46496603,94.0,168.79981733,394.27936744,394.27936863,394.27936861,394.27936872,399.51957985,399.51957984,511.27936984,511.27936985,523.27937002,523.27937005,523.27937002,523.27937002,523.27936999,523.27937002,10.000000061,10.0,10.000000125,87.799904543,190.0,190.0,190.0,164.79982476,164.79982483,164.79982481,109.99999878,109.99999878,109.99999878,511.27936985
8,110.79982488,110.79982487,97.39991172,129.8665495,87.799904543,105.39991189,259.59964969,284.59964969,284.59964968,204.46496603,94.0,168.79981733,394.27936744,394.27936863,394.27936861,394.27936872,399.51957985,399.51957984,511.27936984,511.27936985,523.27937002,523.27937005,523.27937002,523.27937002,523.27936999,523.27937002,10.000000061,10.0,10.000000125,87.799904543,190.0,190.0,190.0,164.79982476,164.79982483,164.79982481,109.99999878,109.99999878,109.99999878,511.27936985
9,110.79982488,110.79982487,97.39991172,129.8665495,87.799904543,105.39991189,259.59964969,284.59964969,284.59964968,204.46496603,94.0,168.79981733,394.27936744,394.27936863,394.27936861,394.27936872,399.51957985,399.51957984,511.27936984,511.27936985,523.27937002,523.27937005,523.27937002,523.27937002,523.27936999,523.27937002,10.000000061,10.0,10.000000125,87.799904543,190.0,190.0,190.0,164.79982476,164.79982483,164.79982481,109.99999878,109.99999878,109.99999878,511.27936985
10,110.79982488,110.79982487,97.39991172,129.8665495,87.799904543,105.39991189,259.59964969,284.59964969,284.59964968,204.46496603,94.0,168.79981733,394.27936744,394.27936863,394.27936861,394.27936872,399.51957985,399.51957984,511.27936984,511.27936985,523.27937002,523.27937005,523.27937002,523.27937002,523.27936999,523.27937002,10.000000061,10.0,10.000000125,87.799904543,190.0,190.0,190.0,164.79982476,164.79982483,164.79982481,109.99999878,109.99999878,109.99999878,511.27936985
