,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,110.91437884030493,111.61468729295743,97.40032470784486,179.73397020728424,97.0,140.0,259.6029568531668,135.00008647705056,284.6141682309933,300.0,94.00000717453958,375.0,125.00003036250735,500.0,500.0,500.0,500.0,500.0,550.0,242.0000034233434,550.0,550.0,523.2794935334472,523.280381228239,523.2794839918118,550.0,10.000018729290009,10.000000793779718,10.000043538921355,97.0,190.0,60.0,190.0,90.00004684790065,90.00001374743933,90.00001114430489,110.0,110.0,110.0,511.2798732746374
1,36.00256352132404,36.00091131202027,96.87513379751282,189.99823468661458,96.99541424107461,139.99640700225882,299.99890855841545,282.5610044563727,299.99478223853146,130.00076702954507,94.00027336632151,94.00022381193205,301.57976712998936,393.5121755836587,393.78705493064683,499.99737345259115,499.99539834500706,489.238799502426,549.9949392667979,549.9984696516732,549.995491448518,549.9939080561483,549.9994492746654,549.9986121664388,254.00001048371243,523.678676050195,10.0020947588182,10.001642129012879,10.001817929194049,87.87747833651586,189.99945887683913,189.99989922930044,189.9989773359106,199.99336597938893,199.99989387937507,164.93373053764265,109.99791938897305,25.000014798077746,109.99934127648297,549.9996161800767
2,114.0,114.0,60.00003759729964,179.73857233177026,47.00003285458446,140.0,300.0,300.0,300.0,130.0000077273108,94.00004431618085,168.800951522871,500.0,500.0,214.77380441740112,125.00033479066249,489.28076295753,500.0,550.0,550.0,524.5514646604202,526.9995575311635,550.0,550.0,550.0,523.5681263479801,10.000053653729482,10.000022209703248,10.003458288234256,97.0,190.0,190.0,60.00040133987761,200.0,200.0,90.0000140468645,110.0,110.0,109.9999916780687,511.28235514916815
3,114.0,114.0,97.39991254373209,179.73310011397194,47.0,140.0,300.0,300.0,300.0,130.0,243.59965017096275,94.0,125.0,500.0,304.51958020511694,500.0,500.0,489.279370307912,550.0,550.0,550.0,523.2793703078427,254.0,550.0,550.0,550.0,10.0,10.0,10.0,97.0,190.0,190.0,190.0,200.0,90.0,90.0,110.0,110.0,97.1890163504609,550.0
4,114.0,114.0,97.451245737528,189.9999908962406,97.0,140.0,261.21144646138754,300.0,300.0,130.00000313631668,375.0,94.00396744748157,500.0,214.76802263466456,394.2855718339516,214.75916543149148,489.2797733732475,500.0,549.9999999913503,511.2880707943547,523.2836092996886,523.2830357421307,523.2917405852583,523.283557676748,254.00107781570958,550.0,10.000003747717365,10.000343582582996,10.000056244735076,89.00890035332122,189.99999989403503,190.0,189.9999517067056,200.0,175.28490383923256,200.0,110.0,109.99993355700664,110.0,421.51652649967275
5,36.0,114.0,120.0,179.7331001879636,97.0,140.0,300.0,300.0,135.0,130.0,94.0,94.0,500.0,500.0,304.51958021626757,304.51958041828107,500.0,500.0,550.0,550.0,550.0,550.0,545.9483688731046,550.0,550.0,523.2793703204696,10.0,10.0,10.0,47.0,60.0,190.0,60.0,200.0,200.0,200.0,110.0,25.0,110.0,550.0
6,114.0,114.0,120.0,190.0,97.0,140.0,300.0,300.0,135.0,204.79988552168885,94.0,94.0,500.0,500.0,304.519380081865,304.51971209218806,489.28243072498856,500.0,511.29654254886196,550.0,254.0,550.0,525.2852699307449,530.0062077110889,550.0,549.9976190610985,10.004407399971399,10.0,10.0,47.001525958462615,190.0,190.0,190.0,90.0,200.0,200.0,110.0,110.0,110.0,511.2869505266115
7,114.0,36.0,97.39991230685521,190.0,87.79990495864932,140.0,300.0,300.0,284.5996497996078,300.0,94.0,375.0,500.0,214.75978986902456,304.5195799634686,214.75979013738822,500.0,500.0,550.0,511.27936988173747,550.0,550.0,550.0,523.2793702575964,550.0,254.0,10.0,10.0,10.0,97.0,60.0,190.0,190.0,90.0,200.0,200.0,102.48849672886224,110.0,89.11413611774903,550.0
8,114.0,114.0,60.0,190.0,97.0,68.0,300.0,300.0,284.59965015918965,300.0,94.0,94.0,125.0,304.51958040167904,304.51958006120253,484.0391602085278,500.0,500.0,550.0,511.27937033906164,550.0,550.0,550.0,523.2793705080805,523.2793703495939,550.0,10.0,10.0,10.0,87.79990475627399,190.0,190.0,60.0,194.60481755869307,200.0,164.79982522720735,110.0,110.0,110.0,511.2793704422333
9,114.0,114.0,60.0,190.0,47.0,68.0,300.0,300.0,300.0,300.0,375.0,94.0,125.0,484.03916040898997,500.0,125.0,500.0,500.0,550.0,511.27937316741367,550.0,550.0,550.0,550.0,550.0,254.0,10.0,10.0,10.0,97.0,190.0,190.0,190.0,200.0,200.0,90.0,110.0,110.0,110.0,421.681466423591
10,36.0,114.0,60.0,179.733100109594,97.0,140.0,300.0,284.59965058108446,300.0,300.0,375.0,94.0,125.0,394.2793703073345,394.2793702941977,500.0,220.0,500.0,242.0,550.0,550.0,550.0,550.0,523.2793703048922,550.0,523.2793703013295,10.0,10.0,10.0,47.0,190.0,190.0,190.0,200.0,200.0,164.7998251928941,65.74994290646733,110.0,110.0,550.0
11,114.0,114.0,120.0,190.0,97.0,140.0,300.0,288.5622386616874,300.0,130.0,243.5996501808146,94.0,125.0,304.519580236526,304.5195802041404,304.51958021217126,500.0,500.0,550.0,550.0,523.2793705012613,550.0,550.0,550.0,550.0,550.0,10.0,10.0,10.0,47.0,190.0,190.0,190.0,200.0,200.0,200.0,25.0,110.0,25.0,550.0
12,114.0,113.99991913489195,97.39852329545879,80.0,47.00002308543715,105.39913861125946,110.00009660381909,299.99967199415767,299.9975800127091,299.999392027956,374.9990440404083,375.0,214.6940625421552,304.52004272655006,304.51779010002315,304.51717841655903,499.9999996704006,499.99999924676905,242.0,511.27629261038953,523.2788256678258,549.9999441207299,549.999999871998,550.0,549.9995353615914,523.278562221899,10.000010939160966,10.000145121200465,10.00031024664854,97.0,190.0,190.0,190.0,199.999999921263,199.99981327987982,164.797846134514,25.0000409360155,107.32615757884275,109.9999974878475,550.0
