,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,110.79982509,114.0,110.79982509,110.79982509,110.79982509,110.79982509,114.0,110.79982509,114.0,114.0,110.79982509,112.78230135,114.0,110.79982509,110.79982509,110.79982509,110.79982509,110.79982509,110.79982509,114.0,113.26080835,114.0,110.79982509,110.79982509,110.79982509,110.79982509,114.0,110.79982509,110.79982509,114.0,114.0,110.79982509,110.79982509,114.0,114.0,114.0,110.79982509,113.0163892,110.79982509,114.0,114.0,110.79982509,114.0,110.79982509,112.68648648,110.79982509,110.79982509,114.0,114.0,110.79982509
1,110.79982509,114.0,110.79982509,110.79982509,110.79982509,110.79982509,114.0,110.79982509,114.0,114.0,110.79982509,114.0,114.0,110.79982509,110.79982509,110.79982509,110.79982509,110.79982509,110.79982509,114.0,114.0,114.0,110.79982509,110.79982509,110.79982509,110.79982509,114.0,110.79982509,110.79982509,114.0,114.0,110.79982509,110.79982509,114.0,114.0,114.0,110.79982509,114.0,110.79982509,114.0,114.0,110.79982509,114.0,110.79982509,114.0,110.79982509,110.79982509,114.0,114.0,110.79982509
2,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543,97.399912543
3,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011,179.73310011
4,87.799904592,97.0,87.799904592,92.078426257,87.799904592,92.078426257,97.0,96.356947931,97.0,97.0,87.799904592,89.500836194,89.956598102,96.356947931,96.356947931,96.356947931,96.356947931,96.356947931,96.356947931,97.0,88.519853985,97.0,87.799904592,96.356947931,96.356947931,87.799904592,88.986070839,92.078426257,96.356947931,89.956598102,97.0,92.078426257,96.356947931,89.956598102,89.083827245,89.742883851,87.799904592,87.799904592,96.356947931,89.956598102,97.0,96.356947931,97.0,96.356947931,89.383110177,96.356947931,87.799904592,97.0,89.956598102,96.356947931
5,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
6,300.0,259.59965017,300.0,300.0,300.0,300.0,259.59965017,300.0,259.59965017,268.35615286,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,259.59965017,300.0,259.59965017,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,259.59965017,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,259.59965017,300.0,259.59965017,300.0,300.0,300.0,300.0,259.59965017,300.0,300.0
7,284.59965017,300.0,284.59965017,284.59965017,284.59965017,284.59965017,300.0,284.59965017,300.0,300.0,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,300.0,284.59965017,300.0,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,300.0,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,300.0,284.59965017,300.0,284.59965017,284.59965017,284.59965017,284.59965017,300.0,284.59965017,284.59965017
8,284.59965017,293.35615286,284.59965017,284.59965017,284.59965017,284.59965017,293.35615286,284.59965017,293.35615286,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,293.35615286,284.59965017,293.35615286,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,293.35615286,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,284.59965017,293.35615286,284.59965017,293.35615286,284.59965017,284.59965017,284.59965017,284.59965017,293.35615286,284.59965017,284.59965017
9,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
10,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
11,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
12,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
13,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031,394.27937031
