,final_result
0,121476.67361888915
1,121566.56763707817
2,121476.67361888915
3,121480.43184348449
4,121476.67361888915
5,121480.43184348449
6,121566.56763707817
7,121476.67361888915
8,121566.56763707817
9,121566.59491765984
10,121476.67361888915
11,121481.46085647977
12,121481.32481050337
13,121476.67361888915
14,121476.67361888915
15,121476.67361888915
16,121476.67361888915
17,121476.67361888915
18,121476.67361888915
19,121566.56763707817
20,121481.42290693132
21,121566.56763707817
22,121476.67361888915
23,121476.67361888915
24,121476.67361888915
25,121476.67361888915
26,121481.3664542672
27,121480.43184348449
28,121476.67361888915
29,121481.32481050337
30,121566.56763707817
31,121480.43184348449
32,121476.67361888915
33,121481.32481050337
34,121481.36534502477
35,121481.33982257784
36,121476.67361888915
37,121481.30606716176
38,121476.67361888915
39,121481.32481050337
40,121566.56763707817
41,121476.67361888915
42,121566.56763707817
43,121476.67361888915
44,121481.4568819424
45,121476.67361888915
46,121476.67361888915
47,121566.56763707817
48,121481.32481050337
49,121476.67361888915
