,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,100.0,371.32741229,250.0,25.0,63.75,267.30030208,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
1,100.0,371.32741229,250.0,25.0,63.75,261.25877775,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
2,100.0,371.32741229,250.0,25.0,63.75,275.67788249,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
3,100.0,371.32741229,250.0,25.0,63.75,267.78362403,63.75,148.33219467,200.0,40.0,150.0,75.0,63.75,95.0,204.30676901,80.0,80.0,230.0,400.0
4,100.0,371.32741229,250.0,25.0,63.75,261.25877775,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
5,100.0,371.32741229,250.0,25.0,63.75,269.63635816,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
6,100.0,371.32741229,250.0,25.0,63.75,259.40604362,63.75,148.33219467,200.0,40.0,150.0,75.0,63.75,95.0,212.68434942,80.0,80.0,230.0,400.0
7,100.0,371.32741229,250.0,25.0,63.75,273.34182642,63.75,130.20762167,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
8,100.0,371.32741229,250.0,25.0,63.75,255.21725342,63.75,148.33219467,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
9,100.0,371.32741229,250.0,25.0,63.75,267.30030208,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
10,100.0,371.32741229,250.0,25.0,63.75,269.63635816,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
11,100.0,371.32741229,250.0,25.0,63.75,267.30030208,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
12,100.0,371.32741229,250.0,25.0,63.75,263.59483383,63.75,148.33219467,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
13,100.0,371.32741229,250.0,25.0,63.75,269.63635816,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
14,100.0,371.32741229,250.0,25.0,63.75,261.25877775,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
15,100.0,371.32741229,250.0,25.0,63.75,255.21725342,63.75,148.33219467,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
16,100.0,371.32741229,250.0,25.0,63.75,265.44756796,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,212.68434942,80.0,80.0,230.0,400.0
17,100.0,371.32741229,250.0,25.0,63.75,267.30030208,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
18,100.0,434.15926536,250.0,25.0,63.75,240.71759502,63.75,100.0,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
19,100.0,371.32741229,250.0,25.0,63.75,267.30030208,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
20,100.0,371.32741229,250.0,25.0,63.75,267.30030208,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
21,100.0,371.32741229,250.0,25.0,63.75,265.44756796,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,212.68434942,80.0,80.0,230.0,400.0
22,100.0,371.32741229,250.0,25.0,63.75,255.21725342,63.75,148.33219467,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
23,100.0,371.32741229,250.0,25.0,63.75,255.21725342,63.75,148.33219467,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
24,100.0,371.32741229,250.0,25.0,63.75,263.59483383,63.75,148.33219467,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
25,100.0,371.32741229,250.0,25.0,63.75,267.30030208,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
26,100.0,371.32741229,250.0,25.0,63.75,261.25877775,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
27,100.0,371.32741229,250.0,25.0,63.75,249.17572908,63.75,154.373719,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
28,100.0,371.32741229,250.0,25.0,63.75,261.25877775,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
29,100.0,371.32741229,250.0,25.0,63.75,261.25877775,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
30,100.0,371.32741229,250.0,25.0,63.75,257.55330949,63.75,154.373719,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
31,100.0,371.32741229,250.0,25.0,63.75,261.25877775,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
32,100.0,371.32741229,250.0,25.0,63.75,243.13420475,63.75,160.41524334,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
33,100.0,371.32741229,250.0,25.0,63.75,257.55330949,63.75,154.373719,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
34,100.0,371.32741229,250.0,25.0,63.75,261.25877775,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
35,100.0,371.32741229,250.0,25.0,63.75,267.30030208,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
36,100.0,371.32741229,250.0,25.0,63.75,267.30030208,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
37,100.0,371.32741229,250.0,25.0,63.75,265.44756796,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,212.68434942,80.0,80.0,230.0,400.0
38,100.0,371.32741229,250.0,25.0,63.75,263.59483383,63.75,148.33219467,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
39,100.0,371.32741229,250.0,25.0,63.75,298.47456765,63.75,130.20762167,200.0,40.0,150.0,75.0,63.75,95.0,191.7403984,80.0,80.0,230.0,400.0
40,100.0,371.32741229,250.0,25.0,63.75,275.67788249,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
41,100.0,371.32741229,250.0,25.0,63.75,267.30030208,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
42,100.0,371.32741229,250.0,25.0,63.75,261.25877775,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
43,100.0,371.32741229,250.0,25.0,63.75,271.48909229,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,212.68434942,80.0,80.0,230.0,400.0
44,100.0,371.32741229,250.0,25.0,63.75,261.25877775,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
45,100.0,434.15926536,250.0,25.0,63.75,249.09517543,63.75,100.0,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
46,100.0,371.32741229,250.0,25.0,63.75,261.25877775,63.75,142.29067034,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
47,100.0,371.32741229,250.0,25.0,63.75,267.30030208,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
48,100.0,434.15926536,250.0,25.0,63.75,253.28396563,63.75,100.0,200.0,40.0,150.0,75.0,63.75,95.0,204.30676901,80.0,80.0,230.0,400.0
49,100.0,371.32741229,250.0,25.0,63.75,279.38335075,63.75,124.16609734,200.0,40.0,150.0,75.0,63.75,95.0,216.87313962,80.0,80.0,230.0,400.0
