,0
0,18134.303047451296
1,17279.647194518144
2,17420.287452744506
3,17757.96888887279
4,17548.546020392485
5,17912.142373335322
6,17463.50008759949
7,17377.811083244764
8,17526.580448242006
9,17012.977674723745
10,17146.22631904322
11,17822.609166879425
12,17864.15987321369
13,17389.507198087216
14,18465.75192316983
15,17240.26126227291
16,18020.076407950295
17,18432.60856639272
18,17489.10756980183
19,17189.854794536666
20,17447.58866177321
21,18086.741292225084
22,17430.960541138407
23,17394.833202051403
24,17669.58176126585
25,18283.25806999697
26,17413.809409560756
27,18135.384071506654
28,18942.824183142973
29,17126.352564829765
30,17248.959259711373
31,18113.921640563363
32,17016.001466493522
33,17434.38522716904
34,17315.357098842076
35,17489.84126226726
36,17685.72002644641
37,17787.746334824642
38,17545.818469994607
39,17545.181048618208
40,17631.784348071364
41,17726.897464737478
42,17412.024450460187
43,17407.037694519953
44,17487.30215644105
45,17607.177193367967
46,17457.5236936761
47,17499.1708531616
48,17593.664129822562
49,17510.674536082865
